2.035399999999999987e-01,2.191800000000000137e-01,0.000000000000000000e+00,3.424699999999999966e-02,9.682799999999999740e-02,4.366200000000000081e-01,1.130700000000000038e-01,3.162099999999999911e-01,4.566899999999999848e-01,1.496999999999999997e-01,1.000000000000000000e+00
1.592899999999999872e-01,2.397299999999999986e-01,4.000000000000000222e-01,1.027399999999999980e-01,9.849700000000000122e-02,9.859199999999999908e-02,4.593599999999999767e-02,4.570799999999999863e-01,6.456699999999999662e-01,2.395200000000000107e-01,1.000000000000000000e+00
3.008799999999999808e-01,2.602700000000000014e-01,3.900000000000000133e-01,1.164400000000000018e-01,1.168600000000000055e-01,1.549300000000000122e-01,1.413399999999999934e-01,6.184899999999999842e-01,5.433099999999999596e-01,1.736499999999999988e-01,1.000000000000000000e+00
1.681400000000000117e-01,3.356199999999999739e-01,0.000000000000000000e+00,8.904099999999999515e-02,1.385599999999999887e-01,6.619699999999999473e-01,1.872800000000000020e-01,3.917800000000000171e-01,6.850399999999999823e-01,2.215600000000000069e-01,1.000000000000000000e+00
3.716800000000000104e-01,3.356199999999999739e-01,1.900000000000000022e-01,2.123299999999999910e-01,1.368900000000000117e-01,4.084499999999999797e-01,2.226100000000000023e-01,5.722699999999999454e-01,3.779500000000000082e-01,1.018000000000000016e-01,1.000000000000000000e+00
3.451299999999999923e-01,2.397299999999999986e-01,2.700000000000000178e-01,6.849299999999999833e-02,7.679500000000000215e-02,2.394399999999999862e-01,1.130700000000000038e-01,3.749100000000000210e-01,3.307100000000000040e-01,3.113799999999999901e-01,1.000000000000000000e+00
2.566399999999999793e-01,1.027399999999999980e-01,3.400000000000000244e-01,9.589000000000000301e-02,6.343899999999999539e-02,4.225399999999999989e-02,7.067099999999999771e-03,3.690399999999999792e-01,5.196899999999999853e-01,1.856299999999999895e-01,1.000000000000000000e+00
2.212399999999999922e-01,3.287700000000000067e-01,1.000000000000000021e-02,9.589000000000000301e-02,1.118500000000000050e-01,3.239400000000000057e-01,1.095399999999999985e-01,3.719700000000000228e-01,5.196899999999999853e-01,1.676600000000000035e-01,1.000000000000000000e+00
4.424799999999999844e-01,4.452099999999999946e-01,1.199999999999999956e-01,1.369900000000000007e-01,1.168600000000000055e-01,4.084499999999999797e-01,2.402799999999999936e-01,6.294899999999999940e-01,4.409399999999999986e-01,1.856299999999999895e-01,1.000000000000000000e+00
4.867299999999999960e-01,1.301400000000000057e-01,3.499999999999999778e-01,4.794500000000000151e-02,1.051799999999999957e-01,1.126800000000000024e-01,7.773900000000000254e-02,4.878899999999999904e-01,3.936999999999999944e-01,2.993999999999999995e-01,1.000000000000000000e+00
3.274299999999999988e-01,3.356199999999999739e-01,2.999999999999999889e-01,8.219200000000000117e-02,1.202000000000000013e-01,1.408500000000000030e-01,1.554800000000000071e-01,5.231099999999999639e-01,5.196899999999999853e-01,1.676600000000000035e-01,1.000000000000000000e+00
